,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"bad guy","Billie Eilish",288698,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
2,"Old Town Road","Lil Nas X",188943,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
3,"wish you were gay","Billie Eilish",188177,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD
4,"bury a friend","Billie Eilish",151088,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",146852,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,Wow.,"Post Malone",142135,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
7,"all the good girls go to hell","Billie Eilish",140066,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
8,"when the party's over","Billie Eilish",131643,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
9,xanny,"Billie Eilish",131470,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY
10,"my strange addiction","Billie Eilish",128501,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK
11,"7 rings","Ariana Grande",127857,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
12,Sucker,"Jonas Brothers",119576,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
13,"you should see me in a crown","Billie Eilish",118279,https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d
14,"break up with your girlfriend, i'm bored","Ariana Grande",115595,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
15,"MIDDLE CHILD","J. Cole",114320,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
16,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",112772,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
17,"Going Bad (feat. Drake)","Meek Mill",107067,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
18,"Murder On My Mind","YNW Melly",106521,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
19,"i love you","Billie Eilish",106008,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
20,ilomilo,"Billie Eilish",103960,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
21,"Pure Water (with Migos)",Mustard,102934,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp
