,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",243040,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Dance Monkey","Tones and I",188427,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Intentions (feat. Quavo)","Justin Bieber",187172,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,"Blinding Lights","The Weeknd",186165,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,P2,"Lil Uzi Vert",172936,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
6,"Blueberry Faygo","Lil Mosey",171200,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
7,"Baby Pluto","Lil Uzi Vert",166189,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
8,"That Way - Bonus Track","Lil Uzi Vert",163703,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
9,"Don't Start Now","Dua Lipa",159452,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,"Godzilla (feat. Juice WRLD)",Eminem,150136,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
11,"Life Is Good (feat. Drake)",Future,136875,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
12,Circles,"Post Malone",135904,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
13,"Say So","Doja Cat",132131,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
14,ROXANNE,"Arizona Zervas",129503,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,Falling,"Trevor Daniel",125854,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,"WHATS POPPIN","Jack Harlow",118287,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
17,"Lo Mein","Lil Uzi Vert",117981,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3
18,"death bed (feat. beabadoobee)",Powfu,116365,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",114442,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
20,"Someone You Loved","Lewis Capaldi",112323,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Silly Watch","Lil Uzi Vert",110328,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo
22,"After Hours","The Weeknd",110022,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
23,"Sunday Best",Surfaces,107602,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
24,"You should be sad",Halsey,98967,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
25,"Adore You","Harry Styles",97992,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,"I'm Sorry","Lil Uzi Vert",96721,https://open.spotify.com/track/1xcOYJxDa5pObgxY1r0I9c
27,"Stupid Love","Lady Gaga",94814,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
28,"High Fashion (feat. Mustard)","Roddy Ricch",93136,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
29,"I Love Me","Demi Lovato",91545,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA
30,"My Oh My (feat. DaBaby)","Camila Cabello",91047,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
31,"Before You Go","Lewis Capaldi",90602,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,"Roses - Imanbek Remix","SAINt JHN",90257,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
33,"Forever (feat. Post Malone & Clever)","Justin Bieber",90195,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
34,"If the World Was Ending - feat. Julia Michaels","JP Saxe",90190,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
35,Prices,"Lil Uzi Vert",89304,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn
36,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",87059,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
